vp time CCC KSU PME BKS BES LBS
ExampleVP2 0 152.06 416.58 1504.78 1577.35 1141.28 3461.54
ExampleVP2 1 152.07 417.6 1503.7 1577.41 1134.68 3459.72
ExampleVP2 2 152.07 417.58 1503.59 1577.43 1134.76 3459.71
ExampleVP2 3 152.08 416.48 1503.65 1577.39 1133.7 3459.75
ExampleVP2 4 152.13 416.1 1503.64 1577.38 1133.69 3459.71
ExampleVP2 5 152.1 417.6 1503.57 1577.35 1133.73 3459.67
ExampleVP2 6 152.05 417.61 1503.59 1577.38 1133.65 3459.68
ExampleVP2 7 152.08 417.57 1503.62 1577.38 1133.83 3459.7
ExampleVP2 8 152.06 417.2 1503.62 1577.41 1134.53 3459.69
ExampleVP2 9 152.04 417.57 1503.6 1577.38 1133.7 3459.69
ExampleVP2 10 152.08 417.62 1503.63 1577.35 1133.7 3459.72
ExampleVP2 11 152.07 417.14 1503.61 1577.34 1133.67 3459.71
ExampleVP2 12 152.06 417.2 1503.59 1577.35 1133.85 3459.67
ExampleVP2 13 152.05 417.59 1503.61 1577.3 1133.7 3459.72
ExampleVP2 14 152.06 416.82 1503.62 1577.41 1133.78 3459.69
ExampleVP2 15 152.04 417.1 1503.6 1577.4 1133.67 3459.73
ExampleVP2 16 152.04 417.55 1503.63 1577.42 1133.7 3459.63
ExampleVP2 17 152.13 417.68 1503.71 1577.41 1133.86 3459.7
ExampleVP2 18 152.09 416.98 1503.64 1577.39 1133.7 3459.73
ExampleVP2 19 152.01 417.66 1503.59 1577.4 1133.73 3459.69
ExampleVP2 20 152.07 417.11 1503.6 1577.43 1134.22 3459.69
ExampleVP2 21 152.06 417.55 1503.63 1577.37 1133.9 3459.73
ExampleVP2 22 152.1 416.37 1503.61 1577.38 1133.72 3459.76
ExampleVP2 23 152.08 417.05 1503.64 1577.4 1133.67 3459.67
ExampleVP2 24 152.06 417.57 1503.6 1577.42 1133.7 3459.65
ExampleVP2 25 152.09 417.03 1503.6 1577.39 1133.72 3459.7
ExampleVP2 26 152.09 417.61 1503.59 1577.4 1133.71 3459.72
ExampleVP2 27 152.07 417.58 1503.58 1577.36 1133.69 3459.69
ExampleVP2 28 152.07 417.6 1503.63 1577.41 1133.67 3459.7
ExampleVP2 29 152.07 417.23 1503.56 1577.39 1133.74 3459.66
ExampleVP2 30 152.03 417.05 1503.56 1577.36 1133.76 3459.74
ExampleVP2 31 152.58 417.4 1503.93 1576.82 1133.68 3458.91
ExampleVP2 32 151.19 416.81 1502.43 1577.95 1134.77 3460.03
ExampleVP2 33 152.02 417.08 1503.97 1576.91 1134.19 3459.02
ExampleVP2 34 152.66 417.49 1504.47 1576.5 1134.6 3458.65
ExampleVP2 35 151.54 417.16 1504.04 1577.77 1136.72 3460.33
ExampleVP2 36 151.07 416.18 1502.92 1576.07 1133.49 3459.25
ExampleVP2 37 150.8 416.93 1503.96 1578.38 1135.39 3461.29
ExampleVP2 38 150.04 415.29 1501.82 1576.7 1133.37 3458.84
ExampleVP2 39 151.49 417.16 1503.08 1577.67 1134.51 3460.16
ExampleVP2 40 150.98 417.62 1502.08 1577.26 1132.96 3458.99
ExampleVP2 41 150.57 786.14 1502.27 1577.36 1133.66 3459.63
ExampleVP2 42 150.6 1194.65 1502.22 1577.39 1133.66 3459.69
ExampleVP2 43 150.56 409.09 1502.21 1577.4 1133.68 3459.72
ExampleVP2 44 150.62 406.47 1502.23 1577.38 1133.68 3459.65
ExampleVP2 45 150.53 406.38 1502.25 1577.34 1133.61 3459.67
ExampleVP2 46 150.55 406.48 1502.2 1577.35 1133.69 3459.65
ExampleVP2 47 150.62 406.44 1502.23 1577.4 1133.78 3459.7
ExampleVP2 48 150.65 406.41 1502.26 1577.4 1133.72 3459.71
ExampleVP2 49 150.64 406.41 1502.19 1577.4 1133.7 3459.7
ExampleVP2 50 150.6 406.39 1502.26 1577.44 1133.67 3459.65
ExampleVP2 51 150.59 406.45 1502.24 1577.39 1133.69 3459.69
ExampleVP2 52 150.58 406.55 1502.2 1577.39 1133.73 3459.63
ExampleVP2 53 150.56 406.49 1502.24 1577.39 1133.7 3459.65
ExampleVP2 54 150.64 406.46 1502.25 1577.36 1133.65 3459.69
ExampleVP2 55 150.59 406.44 1502.25 1577.36 1133.68 3459.63
ExampleVP2 56 150.61 406.39 1502.21 1577.34 1133.68 3459.67
ExampleVP2 57 150.57 406.4 1502.2 1577.31 1133.62 3459.74
ExampleVP2 58 150.56 406.44 1502.25 1577.37 1133.7 3459.71
ExampleVP2 59 150.55 406.56 1502.2 1577.38 1133.71 3459.67
ExampleVP2 60 150.6 406.51 1502.27 1577.37 1133.68 3459.72
ExampleVP2 61 150.56 406.49 1502.26 1577.34 1133.66 3459.63
ExampleVP2 62 150.58 406.42 1502.19 1577.39 1133.73 3459.68
ExampleVP2 63 150.58 423.9 1502.29 1577.39 1133.65 3459.66
ExampleVP2 64 150.55 475.18 1502.22 1577.38 1133.74 3459.69
ExampleVP2 65 150.62 393.9 1502.25 1577.37 1133.8 3459.65
ExampleVP2 66 150.55 394.4 1502.24 1577.36 1133.69 3459.71
ExampleVP2 67 150.61 394.33 1502.27 1577.4 1133.67 3459.67
ExampleVP2 68 150.58 394.12 1502.26 1577.36 1133.62 3459.71
ExampleVP2 69 150.58 394.24 1502.22 1577.36 1133.77 3459.6
ExampleVP2 70 150.57 394.34 1502.19 1577.38 1133.67 3459.77
ExampleVP2 71 150.59 392.99 1502.23 1577.37 1133.65 3459.67
ExampleVP2 72 150.55 394.56 1502.21 1577.39 1133.67 3459.7
ExampleVP2 73 150.59 521.16 1502.24 1577.35 1133.57 3459.7
ExampleVP2 74 150.52 425.34 1502.2 1577.38 1133.75 3459.69
ExampleVP2 75 150.54 383.17 1502.28 1577.36 1133.85 3459.62
ExampleVP2 76 150.59 384.03 1502.22 1577.39 1133.81 3459.67
ExampleVP2 77 150.53 383.85 1502.24 1577.43 1133.73 3459.67
ExampleVP2 78 150.57 384.07 1502.24 1577.39 1133.65 3459.74
ExampleVP2 79 150.58 384.6 1502.16 1577.28 1133.69 3459.76
ExampleVP2 80 150.65 384.21 1502.21 1577.37 1133.66 3459.62
ExampleVP2 81 150.59 383.63 1502.21 1577.36 1133.69 3459.7
ExampleVP2 82 150.57 384.68 1502.16 1577.52 1133.71 3459.7
ExampleVP2 83 150.55 384.24 1502.23 1577.33 1133.69 3459.69
ExampleVP2 84 150.59 384.6 1502.22 1577.34 1133.73 3459.67
ExampleVP2 85 150.51 384.66 1502.21 1577.35 1133.66 3459.69
ExampleVP2 86 150.61 384.5 1502.25 1577.38 1133.71 3459.57
ExampleVP2 87 150.59 384.69 1502.19 1577.37 1133.71 3459.79
ExampleVP2 88 150.55 384.72 1502.26 1577.37 1133.69 3459.7
ExampleVP2 89 150.58 384.44 1502.34 1577.46 1133.71 3459.65
ExampleVP2 90 150.57 384.52 1502.28 1577.43 1133.79 3459.69
ExampleVP2 91 150.59 383.13 1502.29 1577.41 1133.71 3459.68
ExampleVP2 92 150.59 384.36 1502.23 1577.37 1133.68 3459.63
ExampleVP2 93 150.63 384.04 1502.25 1577.34 1133.75 3459.7
ExampleVP2 94 150.62 384.68 1502.25 1577.35 1133.71 3459.67
ExampleVP2 95 150.61 384.43 1502.25 1577.39 1133.71 3459.66
ExampleVP2 96 150.56 384.09 1502.23 1577.41 1133.7 3459.64
ExampleVP2 97 150.52 383.07 1502.22 1577.38 1133.63 3459.67
ExampleVP2 98 150.57 384.34 1502.24 1577.34 1133.66 3459.58
ExampleVP2 99 150.59 383.53 1502.2 1577.41 1133.67 3459.58
ExampleVP2 100 150.55 384.19 1502.18 1577.37 1133.71 3459.63
ExampleVP2 101 150.55 423.44 1502.22 1577.39 1133.75 3459.69
ExampleVP2 102 150.55 473.76 1502.24 1577.31 1133.67 3459.67
ExampleVP2 103 150.58 375.44 1502.24 1577.4 1133.67 3459.63
ExampleVP2 104 150.46 375.52 1502.19 1577.34 1133.69 3459.61
ExampleVP2 105 150.57 375.49 1502.21 1577.41 1133.65 3459.61
ExampleVP2 106 150.56 375.5 1502.21 1577.36 1133.68 3459.72
ExampleVP2 107 150.53 375.48 1502.2 1577.39 1133.73 3459.66
ExampleVP2 108 150.55 375.45 1502.21 1577.4 1133.67 3459.64
ExampleVP2 109 150.51 375.49 1502.24 1577.41 1133.68 3459.63
ExampleVP2 110 150.54 390.48 1502.19 1577.36 1133.71 3459.62
ExampleVP2 111 150.51 439.27 1502.24 1577.33 1133.64 3459.65
ExampleVP2 112 150.53 403.11 1502.24 1577.4 1133.7 3459.65
ExampleVP2 113 150.56 365.76 1502.27 1577.41 1133.69 3459.63
ExampleVP2 114 150.59 365.79 1502.22 1577.36 1133.68 3459.67
ExampleVP2 115 150.54 365.81 1502.22 1577.42 1133.71 3459.66
ExampleVP2 116 150.54 365.78 1502.21 1577.32 1133.71 3459.64
ExampleVP2 117 150.54 365.72 1502.22 1577.37 1133.73 3459.67
ExampleVP2 118 150.57 365.79 1502.21 1577.39 1133.66 3459.7
ExampleVP2 119 150.58 365.72 1502.27 1577.37 1133.74 3459.66
ExampleVP2 120 150.51 365.74 1502.24 1577.41 1133.66 3459.61
ExampleVP2 121 150.52 365.73 1502.24 1577.39 1133.69 3459.68
ExampleVP2 122 150.54 365.77 1502.26 1577.37 1133.7 3459.65
ExampleVP2 123 150.51 365.81 1502.23 1577.39 1133.68 3459.61
ExampleVP2 124 150.53 365.72 1502.22 1577.36 1133.66 3459.72
ExampleVP2 125 150.52 365.82 1502.19 1577.4 1133.66 3459.66
ExampleVP2 126 150.54 365.74 1502.29 1577.35 1133.65 3459.64
ExampleVP2 127 150.54 365.76 1502.21 1577.39 1133.75 3459.65
ExampleVP2 128 150.51 365.7 1502.17 1577.33 1133.7 3459.67
ExampleVP2 129 150.5 365.77 1502.32 1577.4 1133.61 3459.58
ExampleVP2 130 150.5 365.77 1502.24 1577.37 1133.62 3459.68
ExampleVP2 131 150.49 365.72 1502.2 1577.38 1133.79 3459.68
ExampleVP2 132 150.5 365.73 1502.25 1577.4 1133.73 3459.55
ExampleVP2 133 150.48 365.75 1502.24 1577.39 1133.68 3459.66
ExampleVP2 134 150.8 366.39 1502.56 1578.48 1133.5 3460.06
ExampleVP2 135 151.48 366.29 1503.12 1577.9 1134.33 3459.64
ExampleVP2 136 150.39 365.66 1502.28 1577.26 1132.25 3459.88
ExampleVP2 137 152.8 367.02 1504.55 1578.88 1134.58 3459.38
ExampleVP2 138 150.54 366.37 1502.62 1576.95 1133.32 3459.5
ExampleVP2 139 150.75 366.01 1502.83 1577 1133.47 3459.2
ExampleVP2 140 151.16 366.59 1502.76 1577.59 1132.83 3458.83
ExampleVP2 141 151.41 367.16 1503.24 1577.42 1133.62 3459.66
ExampleVP2 142 151.62 366.71 1503.39 1577.36 1133.66 3459.62
ExampleVP2 143 151.23 365.7 1502.97 1577.39 1133.71 3459.16
ExampleVP2 144 150.52 366.37 1503.5 1577.44 1133.69 3459.62
ExampleVP2 145 151.07 366.47 1503.56 1577.41 1133.67 3459.65
ExampleVP2 146 151.78 367.35 1515.55 1577.36 1133.7 3459.59
ExampleVP2 147 151.49 366.61 1550.64 1577.39 1133.51 3459.68
ExampleVP2 148 150.81 367.32 1497.91 1577.32 1133.73 3459.69
ExampleVP2 149 151.75 366.44 1497.77 1577.38 1133.6 3459.65
ExampleVP2 150 151.92 366.49 1497.77 1577.35 1133.68 3459.64
ExampleVP2 151 152 366.38 1497.76 1577.41 1133.62 3459.64
ExampleVP2 152 151.77 367.36 1497.81 1577.41 1133.75 3459.6
ExampleVP2 153 151.95 367.4 1497.78 1577.37 1133.69 3459.57
ExampleVP2 154 151.6 366.63 1499.65 1577.37 1133.74 3459.65
ExampleVP2 155 150.62 366.4 1522.7 1577.38 1133.79 3459.57
ExampleVP2 156 151.73 366.54 1492.92 1577.36 1133.56 3459.65
ExampleVP2 157 151.98 366.7 1493.49 1577.39 1133.58 3459.72
ExampleVP2 158 151.93 367.06 1493.43 1577.35 1133.7 3459.64
ExampleVP2 159 151.28 365.95 1493.44 1577.38 1133.74 3459.62
ExampleVP2 160 150.7 366.69 1493.44 1577.38 1133.69 3459.65
ExampleVP2 161 151.83 366.49 1493.43 1577.36 1133.71 3459.66
ExampleVP2 162 151.94 367.12 1536.22 1577.36 1133.34 3459.42
ExampleVP2 163 151.96 367.36 1507.7 1577.39 1133.69 3459.65
ExampleVP2 164 151.22 366.77 1490.3 1577.35 1133.74 3459.62
ExampleVP2 165 151.77 366.2 1490.29 1577.4 1133.66 3459.57
ExampleVP2 166 151.44 366.08 1515.29 1577.4 1133.7 3459.75
ExampleVP2 167 151.46 366.94 1619.75 1577.43 1133.66 3459.66
ExampleVP2 168 151.33 366.77 1488.77 1577.37 1133.67 3459.67
ExampleVP2 169 151.93 365.74 1487.98 1577.39 1133.65 3459.6
ExampleVP2 170 151.9 365.72 1616.34 1577.38 1133.76 3459.64
ExampleVP2 171 151.12 366.01 1495.22 1577.41 1133.72 3459.11
ExampleVP2 172 151.87 366.02 1484.54 1577.4 1133.64 3459.63
ExampleVP2 173 151.92 366.91 1484.56 1577.39 1133.69 3459.62
ExampleVP2 174 151.23 366.61 1484.57 1577.37 1133.74 3459.64
ExampleVP2 175 151.37 366.76 1484.6 1577.38 1133.64 3459.71
ExampleVP2 176 151.17 366.3 1484.58 1577.43 1133.69 3459.59
ExampleVP2 177 151.9 365.88 1484.58 1577.37 1133.68 3459.62
ExampleVP2 178 151.86 365.7 1484.57 1577.38 1133.62 3459.61
ExampleVP2 179 151.89 365.78 1484.57 1577.4 1133.66 3459.61
ExampleVP2 180 151.21 365.7 1484.58 1577.38 1133.68 3459.64
ExampleVP2 181 151.93 365.73 1484.56 1577.34 1133.68 3459.59
ExampleVP2 182 151.97 366.54 1484.57 1577.32 1133.64 3459.66
ExampleVP2 183 151.93 366.42 1484.55 1577.37 1133.37 3459.62
ExampleVP2 184 151.62 366.16 1484.56 1577.36 1133.68 3459.63
ExampleVP2 185 151.13 367.32 1484.56 1577.39 1133.68 3459.73
ExampleVP2 186 151.47 365.95 1484.55 1577.37 1133.75 3459.61
ExampleVP2 187 151.9 365.86 1484.55 1577.33 1133.65 3459.69
ExampleVP2 188 151.4 366.06 1716.97 1577.37 1133.64 3459.64
ExampleVP2 189 151.37 366.06 1793.03 1577.47 1133.38 3459.64
ExampleVP2 190 150.95 367.29 1480.85 1577.3 1133.49 3459.65
ExampleVP2 191 151.34 366.92 1480.15 1577.36 1133.7 3459.66
ExampleVP2 192 151.91 365.72 1480.09 1577.33 1133.64 3459.62
